speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
barswa,Barn Swallow,Hirundo rustica,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
amecro,American Crow,Corvus brachyrhynchos,L14599930,Mudlick Home,2023-05-25 05:50,2,40.851303,-77.974157,True,False,True,S139170789
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
balori,Baltimore Oriole,Icterus galbula,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
bnhcow,Brown-headed Cowbird,Molothrus ater,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
whbnut,White-breasted Nuthatch,Sitta carolinensis,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
bkcchi,Black-capped Chickadee,Poecile atricapillus,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
moudov,Mourning Dove,Zenaida macroura,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L14599930,Mudlick Home,2023-05-25 05:50,2,40.851303,-77.974157,True,False,True,S139170789
cedwax,Cedar Waxwing,Bombycilla cedrorum,L14599930,Mudlick Home,2023-05-25 05:50,40.851303,-77.974157,True,False,True,S139170789
houwre,House Wren,Troglodytes aedon,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
amered,American Redstart,Setophaga ruticilla,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
amerob,American Robin,Turdus migratorius,L14599930,Mudlick Home,2023-05-25 05:50,40.851303,-77.974157,True,False,True,S139170789
comyel,Common Yellowthroat,Geothlypis trichas,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
carwre,Carolina Wren,Thryothorus ludovicianus,L14599930,Mudlick Home,2023-05-25 05:50,1,40.851303,-77.974157,True,False,True,S139170789
